city,country,id,latitude,longitude,temp_f,humidity,cloudiness,wind_speed,date
lebu,cl,3883457.0,-37.62,-73.65,55.2,92.0,44.0,21.5,1553475105.0
port alfred,za,964432.0,-33.59,26.89,71.01,95.0,24.0,5.99,1553474810.0
labuhan,id,1641899.0,-2.54,115.51,78.87,85.0,36.0,1.36,1553474999.0
qaanaaq,gl,3831208.0,77.48,-69.36,-25.36,74.0,0.0,6.96,1553474907.0
tiksi,ru,2015306.0,71.64,128.87,-7.72,61.0,44.0,3.94,1553475107.0
sucre,bo,3903987.0,-19.05,-65.26,51.78,85.0,36.0,2.15,1553475107.0
linxia,cn,1803331.0,35.6,103.21,14.07,54.0,0.0,2.15,1553475108.0
nikolskoye,ru,546105.0,59.7,30.79,32.92,74.0,0.0,6.71,1553475094.0
nanortalik,gl,3421765.0,60.14,-45.24,31.26,94.0,88.0,39.73,1553474835.0
avarua,ck,4035715.0,-21.21,-159.78,84.2,83.0,88.0,6.93,1553472000.0
punta arenas,cl,3874787.0,-53.16,-70.91,51.49,62.0,75.0,19.46,1553474586.0
barrow,us,4252975.0,39.51,-90.4,54.37,93.0,90.0,9.17,1553475016.0
sao filipe,cv,3374210.0,14.9,-24.5,69.15,100.0,0.0,10.2,1553474900.0
hobart,au,2163355.0,-42.88,147.33,54.48,50.0,75.0,29.97,1553475074.0
cabo san lucas,mx,3985710.0,22.89,-109.91,77.02,32.0,5.0,11.41,1553474807.0
kadiri,in,1268673.0,14.11,78.16,74.46,56.0,0.0,5.06,1553475112.0
yermekeyevo,ru,467260.0,54.07,53.67,33.78,95.0,92.0,13.89,1553475112.0
puerto ayora,ec,3652764.0,-0.74,-90.35,79.84,78.0,75.0,10.29,1553474739.0
lianzhou,cn,1803841.0,24.79,112.38,51.51,97.0,88.0,2.71,1553475113.0
salina,us,4550364.0,36.29,-95.15,62.91,55.0,1.0,4.7,1553474909.0
saint george,bm,3573061.0,32.38,-64.68,60.91,59.0,75.0,3.36,1553473516.0
dikson,ru,1507390.0,73.51,80.55,24.24,93.0,88.0,35.14,1553475114.0
hermanus,za,3366880.0,-34.42,19.24,62.08,96.0,64.0,2.37,1553474786.0
ushuaia,ar,3833367.0,-54.81,-68.31,44.6,100.0,40.0,17.22,1553472000.0
atuona,pf,4020109.0,-9.8,-139.03,82.38,100.0,44.0,16.46,1553475115.0
